Player,Position,Team,College
Trey Hendrickson,Defensive End,Cincinnati Bengals,Florida Atlantic
James Pierre,Cornerback,Pittsburgh Steelers,Florida Atlantic
Devin Singletary,Running Back,New York Giants,Florida Atlantic
Brandon Walton,Offensive Tackle,Carolina Panthers,Florida Atlantic
Jonnu Smith,Tight End,Miami Dolphins,Florida International
Teair Tart,Defensive Tackle,Los Angeles Chargers,Florida International
Cam Akers,Running Back,Minnesota Vikings,Florida State
Jaheim Bell,Tight End,New England Patriots,Florida State
Trey Benson,Running Back,Arizona Cardinals,Florida State
Brian Burns,Linebacker,New York Giants,Florida State
Keon Coleman,Wide Receiver,Buffalo Bills,Florida State
Ronald Darby,Cornerback,Jacksonville Jaguars,Florida State
Mario Edwards Jr.,Defensive Tackle,Houston Texans,Florida State
Braden Fiske,Defensive Tackle,Los Angeles Rams,Florida State
Graham Gano,Place kicker,New York Giants,Florida State
Eddie Goldman,Defensive Tackle,Atlanta Falcons,Florida State
Renardo Green,Cornerback,San Francisco 49ers,Florida State
Dustin Hopkins,Place kicker,Cleveland Browns,Florida State
Derwin James Jr.,Safety,Los Angeles Chargers,Florida State
Jarrian Jones,Cornerback,Jacksonville Jaguars,Florida State
Derrick Nnadi,Defensive Tackle,Kansas City Chiefs,Florida State
Jalen Ramsey,Cornerback,Miami Dolphins,Florida State
Jammie Robinson,Safety,Arizona Cardinals,Florida State
Josh Sweat,Linebacker,Philadelphia Eagles,Florida State
Jared Verse,Linebacker,Los Angeles Rams,Florida State
DeMarcus Walker,Defensive End,Chicago Bears,Florida State
Johnny Wilson,Wide Receiver,Philadelphia Eagles,Florida State
Jameis Winston,Quarterback,Cleveland Browns,Florida State
Nick Zakelj,Offensive Tackle,San Francisco 49ers,Fordham
Nathan Shepherd,Defensive Tackle,New Orleans Saints,Fort Hays State
Emanuel Wilson,Running Back,Green Bay Packers,Fort Valley State
Davante Adams,Wide Receiver,New York Jets,Fresno State
Levelle Bailey,Linebacker,Denver Broncos,Fresno State
DaRon Bland,Cornerback,Dallas Cowboys,Fresno State
Derek Carr,Quarterback,New Orleans Saints,Fresno State
Jake Haener,Quarterback,New Orleans Saints,Fresno State
Jordan Mims,Running Back,New Orleans Saints,Fresno State
Arron Mosby,Defensive End,Green Bay Packers,Fresno State
Nikko Remigio,Wide Receiver,Kansas City Chiefs,Fresno State
Ronnie Rivers,Running Back,Los Angeles Rams,Fresno State
Mykal Walker,Linebacker,Washington Commanders,Fresno State
Jeremiah Pharms Jr.,Defensive Tackle,New England Patriots,Friends University
Ryan Miller,Wide Receiver,Tampa Bay Buccaneers,Furman
Robert Beal Jr.,Defensive End,San Francisco 49ers,Georgia
Stetson Bennett,Quarterback,Los Angeles Rams,Georgia
Brock Bowers,Tight End,Las Vegas Raiders,Georgia
Javon Bullard,Safety,Green Bay Packers,Georgia
Tyson Campbell,Cornerback,Jacksonville Jaguars,Georgia
Lorenzo Carter,Linebacker,Atlanta Falcons,Georgia
Jalen Carter,Defensive Tackle,Philadelphia Eagles,Georgia
Ben Cleveland,Guard,Baltimore Ravens,Georgia
Chris Conley,Wide Receiver,San Francisco 49ers,Georgia
James Cook,Running Back,Buffalo Bills,Georgia
Jordan Davis,Unknown,null Unknown,Georgia
Jordan Davis,Defensive Tackle,Philadelphia Eagles,Georgia
Nakobe Dean,Linebacker,Philadelphia Eagles,Georgia
John FitzPatrick,Tight End,Green Bay Packers,Georgia
Leonard Floyd,Defensive End,San Francisco 49ers,Georgia
Malik Herring,Defensive End,Kansas City Chiefs,Georgia
John Jenkins,Defensive Tackle,Las Vegas Raiders,Georgia
Broderick Jones,Offensive Tackle,Pittsburgh Steelers,Georgia
Kamari Lassiter,Cornerback,Houston Texans,Georgia
Warren McClendon Jr.,Offensive Tackle,Los Angeles Rams,Georgia
Ladd McConkey,Wide Receiver,Los Angeles Chargers,Georgia
Kenny McIntosh,Running Back,Seattle Seahawks,Georgia
Sony Michel,Running Back,Los Angeles Rams,Georgia
Amarius Mims,Offensive Tackle,Cincinnati Bengals,Georgia
Nick Moore,Long Snapper,Baltimore Ravens,Georgia
George Pickens,Wide Receiver,Pittsburgh Steelers,Georgia
Monty Rice,Linebacker,New England Patriots,Georgia
Kelee Ringo,Cornerback,Philadelphia Eagles,Georgia
Jamaree Salyer,Guard,Los Angeles Chargers,Georgia
Roquan Smith,Linebacker,Baltimore Ravens,Georgia
Tykee Smith,Safety,Tampa Bay Buccaneers,Georgia
Chris Smith II,Safety,Las Vegas Raiders,Georgia
Nolan Smith Jr.,Linebacker,Philadelphia Eagles,Georgia
Matthew Stafford,Quarterback,Los Angeles Rams,Georgia
Eric Stokes,Cornerback,Green Bay Packers,Georgia
D'Andre Swift,Running Back,Chicago Bears,Georgia
